,Unnamed: 0,datetime,open,high,low,close,volume,hold,(t+1)-(t),label
1535,527.0,2021-05-20 09:18:00,5945.0,5947.0,5945.0,5946.0,4.0,24.0,2.0,0
1542,534.0,2021-05-20 09:51:00,5945.0,5945.0,5911.0,5911.0,4.0,27.0,-10.0,0
1562,554.0,2021-05-21 09:57:00,5871.0,5871.0,5871.0,5871.0,1.0,17.0,37.0,0
1567,559.0,2021-05-21 13:36:00,5867.0,5867.0,5867.0,5867.0,1.0,15.0,-93.0,0
1583,575.0,2021-05-21 14:36:00,5702.0,5705.0,5702.0,5705.0,2.0,21.0,17.0,0
1585,577.0,2021-05-21 14:46:00,5713.0,5722.0,5713.0,5722.0,4.0,18.0,-28.0,0
1592,584.0,2021-05-24 09:13:00,5608.0,5613.0,5608.0,5608.0,12.0,26.0,37.0,0
1598,590.0,2021-05-24 09:36:00,5645.0,5645.0,5612.0,5612.0,3.0,23.0,-37.0,0
1599,591.0,2021-05-24 09:43:00,5612.0,5614.0,5606.0,5606.0,9.0,25.0,-9.0,0
1600,592.0,2021-05-24 09:44:00,5605.0,5606.0,5554.0,5554.0,7.0,27.0,42.0,0
1615,607.0,2021-05-24 10:51:00,5556.0,5556.0,5551.0,5551.0,12.0,25.0,68.0,0
1616,608.0,2021-05-24 10:55:00,5551.0,5564.0,5551.0,5564.0,3.0,25.0,5.0,0
1620,612.0,2021-05-24 11:03:00,5606.0,5619.0,5606.0,5606.0,2.0,24.0,-41.0,0
1621,613.0,2021-05-24 11:04:00,5606.0,5606.0,5567.0,5567.0,4.0,24.0,4.0,0
1645,637.0,2021-05-24 14:39:00,5635.0,5635.0,5635.0,5635.0,3.0,20.0,-75.0,0
1646,638.0,2021-05-24 14:49:00,5560.0,5560.0,5560.0,5560.0,15.0,23.0,8.0,0
1650,642.0,2021-05-25 09:06:00,5596.0,5596.0,5595.0,5596.0,2.0,26.0,13.0,0
1652,644.0,2021-05-25 09:18:00,5610.0,5610.0,5609.0,5610.0,5.0,25.0,3.0,0
1655,647.0,2021-05-25 09:28:00,5613.0,5613.0,5613.0,5613.0,1.0,24.0,85.0,0
1656,648.0,2021-05-25 09:34:00,5620.0,5622.0,5620.0,5622.0,4.0,24.0,108.0,0
1658,650.0,2021-05-25 09:37:00,5654.0,5673.0,5654.0,5673.0,1.0,25.0,-17.0,0
1659,651.0,2021-05-25 09:38:00,5673.0,5698.0,5673.0,5698.0,6.0,29.0,27.0,0
1660,652.0,2021-05-25 09:39:00,5698.0,5698.0,5678.0,5678.0,1.0,28.0,48.0,0
1665,657.0,2021-05-25 09:47:00,5730.0,5730.0,5656.0,5656.0,6.0,36.0,91.0,0
1669,661.0,2021-05-25 09:55:00,5703.0,5769.0,5703.0,5769.0,5.0,35.0,16.0,0
1672,664.0,2021-05-25 10:03:00,5747.0,5790.0,5747.0,5790.0,5.0,38.0,-50.0,0
1673,665.0,2021-05-25 10:04:00,5790.0,5809.0,5790.0,5809.0,2.0,38.0,-52.0,0
1674,666.0,2021-05-25 10:05:00,5809.0,5809.0,5785.0,5785.0,3.0,39.0,-17.0,0
1682,674.0,2021-05-25 10:35:00,5773.0,5773.0,5773.0,5773.0,1.0,38.0,19.0,0
1683,675.0,2021-05-25 10:36:00,5774.0,5789.0,5773.0,5789.0,5.0,41.0,-4.0,0
1684,676.0,2021-05-25 10:37:00,5789.0,5800.0,5789.0,5800.0,10.0,44.0,-30.0,0
1685,677.0,2021-05-25 10:39:00,5800.0,5817.0,5800.0,5817.0,10.0,45.0,-52.0,0
1686,678.0,2021-05-25 10:40:00,5810.0,5817.0,5810.0,5810.0,4.0,47.0,-55.0,0
1692,684.0,2021-05-25 10:48:00,5767.0,5770.0,5767.0,5768.0,14.0,38.0,17.0,0
1694,686.0,2021-05-25 10:50:00,5765.0,5765.0,5755.0,5755.0,2.0,34.0,48.0,0
1699,691.0,2021-05-25 13:32:00,5786.0,5790.0,5786.0,5790.0,6.0,38.0,15.0,0
1700,692.0,2021-05-25 13:33:00,5790.0,5790.0,5790.0,5790.0,2.0,39.0,10.0,0
1701,693.0,2021-05-25 13:34:00,5790.0,5820.0,5786.0,5786.0,6.0,39.0,-6.0,0
1702,694.0,2021-05-25 13:35:00,5790.0,5820.0,5790.0,5820.0,4.0,39.0,-40.0,0
1709,701.0,2021-05-25 13:44:00,5800.0,5800.0,5780.0,5780.0,2.0,34.0,4.0,0
1711,703.0,2021-05-25 13:54:00,5784.0,5784.0,5780.0,5784.0,2.0,30.0,15.0,0
1712,704.0,2021-05-25 13:56:00,5793.0,5793.0,5784.0,5793.0,2.0,31.0,36.0,0
1713,705.0,2021-05-25 13:57:00,5794.0,5794.0,5794.0,5794.0,2.0,31.0,36.0,0
1714,706.0,2021-05-25 13:58:00,5794.0,5830.0,5794.0,5830.0,2.0,32.0,-21.0,0
1715,707.0,2021-05-25 13:59:00,5830.0,5830.0,5795.0,5795.0,2.0,31.0,10.0,0
1716,708.0,2021-05-25 14:00:00,5795.0,5795.0,5757.0,5757.0,4.0,30.0,22.0,0
1717,709.0,2021-05-25 14:01:00,5757.0,5790.0,5757.0,5790.0,4.0,32.0,25.0,0
1718,710.0,2021-05-25 14:03:00,5790.0,5790.0,5776.0,5776.0,2.0,32.0,6.0,0
1720,712.0,2021-05-25 14:05:00,5799.0,5823.0,5799.0,5823.0,4.0,33.0,-30.0,0
1739,731.0,2021-05-26 09:13:00,5784.0,5800.0,5784.0,5800.0,12.0,35.0,-15.0,0
1740,732.0,2021-05-26 09:14:00,5800.0,5838.0,5800.0,5838.0,9.0,38.0,-33.0,0
1741,733.0,2021-05-26 09:15:00,5838.0,5843.0,5838.0,5843.0,36.0,43.0,-38.0,0
